id	PC	Mac	Sum	Year
Sum	838.0	598.0	1436.0	FY23
Software Issue	187.0	112.0	299.0	FY23
System Setup/Re-imaged	112.0	73.0	185.0	FY23
Printer/Copier	70.0	67.0	137.0	FY23
Backup/Restore	65.0	62.0	127.0	FY23
Email Related	70.0	46.0	116.0	FY23
Purchasing Hardware/Software	49.0	50.0	99.0	FY23
Hardware Issue/Replacement	49.0	29.0	78.0	FY23
Account Related	45.0	23.0	68.0	FY23
Software Install	37.0	19.0	56.0	FY23
Network/Jack related	27.0	26.0	53.0	FY23
Windows/MacOS	21.0	25.0	46.0	FY23
General Inquiry	18.0	23.0	41.0	FY23
Domain/Drive Mapping	25.0	10.0	35.0	FY23
Loaner	19.0	12.0	31.0	FY23
Recycling Equipment	21.0	9.0	30.0	FY23
Equipment Move	12.0	4.0	16.0	FY23
Registering a device	4.0	6.0	10.0	FY23
Virus/Malware	7.0	2.0	9.0	FY23
Research/Training	0.0	0.0	0.0	FY23
